sample_id,first_answer,second_answer,category
0,A,A,Object
1,A,A,Object
2,A,B,Object
3,A,A,Object
4,A,B,Object
5,A,B,Object
6,A,B,Object
7,A,B,Object
8,A,A,Object
9,A,B,Object
10,A,B,Object
11,A,B,Object
12,A,B,Object
13,A,B,Object
14,A,B,Object
15,A,B,Object
16,A,B,Object
17,A,A,Object
18,B,B,Object
19,A,A,Object
20,A,B,Object
21,A,A,Object
22,"The image you've provided does not match either of the given choices. It appears to be a photograph of a person standing in a room with a dishwasher, and there is no bird or branch visible in the image. ",B,Object
23,A,B,Object
24,A,B,Object
25,A,B,Object
26,A,B,Object
27,A,B,Object
28,A,B,Object
29,A,A,Object
30,A,B,Object
31,A,A,Object
32,A,B,Object
33,A,A,Object
34,A,B,Object
35,A,B,Object
36,A,B,Object
37,A,B,Object
38,A,B,Object
39,A,B,Object
40,A,B,Object
41,A,B,Object
42,A,B,Object
43,A,B,Object
44,A,A,Object
45,A,A,Object
46,A,A,Object
47,A,B,Object
48,A,B,Object
49,A,A,Object
50,A,B,Object
51,A,B,Object
52,A,A,Object
53,A,B,Object
54,A,B,Object
55,A,B,Object
56,A,A,Object
57,B,B,Object
58,A,B,Object
59,A,A,Object
60,A,B,Object
61,A,B,Object
62,A,A,Object
63,A,B,Object
64,A,A,Object
65,A,B,Object
66,A,A,Object
67,A,B,Object
68,A,B,Object
69,A,B,Object
70,A,B,Object
71,A,B,Object
72,A,A,Object
73,A,B,Object
74,B,B,Object
75,A,B,Object
76,A,B,Object
77,A,B,Object
78,A,B,Object
79,A,A,Object
80,A,B,Object
81,A,B,Object
82,A,B,Object
83,A,A,Object
84,A,A,Object
85,A,B,Object
86,A,B,Object
87,A,B,Object
88,A,A,Object
89,A,A,Object
90,A,B,Object
91,A,B,Object
92,A,B,Object
93,A,B,Object
94,A,B,Object
95,A,A,Object
96,A,B,Object
97,A,B,Object
98,A,B,Object
99,A,B,Object
100,A,B,Object
101,A,B,Object
102,A,A,Object
103,B,B,Object
104,A,A,Object
105,A,A,Object
106,A,B,Object
107,A,B,Object
108,A,B,Object
109,A,A,Object
110,A,B,Object
111,A,B,Object
112,A,B,Object
113,A,A,Object
114,A,B,Object
115,A,B,Object
116,A,A,Object
117,B,B,Object
118,A,B,Object
119,A,A,Object
120,A,B,Object
121,A,B,Object
122,A,A,Object
123,A,B,Object
124,A,B,Object
125,A,B,Object
126,A,A,Object
127,A,B,Object
128,A,A,Object
129,A,B,Object
130,A,B,Object
131,A,B,Object
132,B,B,Object
133,A,A,Object
134,A,B,Object
135,A,B,Object
136,A,B,Object
137,A,B,Object
138,A,A,Object
139,A,A,Object
140,A,B,Object
141,A,A,Object
142,A,B,Object
143,A,B,Object
144,A,B,Object
145,A,B,Object
146,A,B,Object
147,A,A,Object
148,A,B,Object
149,A,B,Object
150,A,B,Object
151,A,B,Object
152,A,A,Object
153,B,B,Object
154,A,B,Object
155,A,B,Object
156,A,B,Object
157,A,A,Object
158,A,B,Object
159,A,B,Object
160,A,B,Object
161,A,B,Object
162,B,B,Object
163,A,A,Object
164,A,B,Object
165,A,B,Object
166,B,B,Object
