sample_id,category,text_prompt,text_answer_1,text_answer_2
0,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A man sitting on a bench in a forest area.""? Choices: First, Second.
Answer: ",First.,Second.
1,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A colorful kite flying through a cloudy blue sky.""? Choices: First, Second.
Answer: ",Second.,Second.
2,object,"You are given two images.<image> <image> Which image better aligns with the description: ""Cat sitting on a desk with a computer behind him.""? Choices: First, Second.
Answer: ",First.,Second.
3,object,"You are given two images.<image> <image> Which image better aligns with the description: ""Some adults and a child are in a photograph.""? Choices: First, Second.
Answer: ",First.,Second.
4,object,"You are given two images.<image> <image> Which image better aligns with the description: ""There is a group of sheep grazing on the grass in the field.""? Choices: First, Second.
Answer: ",Second.,Second.
5,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A painting of a white vase holding yellow tulips.""? Choices: First, Second.
Answer: ",First.,Second.
6,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A picture of a man wearing a suit, hat, and sunglasses.""? Choices: First, Second.
Answer: ",First.,Second.
7,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A black woman standing over a bushel of yellow bananas.""? Choices: First, Second.
Answer: ",Second.,Second.
8,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A water skier in a red and white shirt and hat.""? Choices: First, Second.
Answer: ",First.,First.
9,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A work area with a laptop computer and phone.""? Choices: First, Second.
Answer: ",Second.,Second.
10,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A sky photo to jumbo jet airplanes over a bridge.""? Choices: First, Second.
Answer: ",First.,Second.
11,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A variety of beer sitting behind some bananas.""? Choices: First, Second.
Answer: ",First.,Second.
12,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A white car parked on a street in the rain.""? Choices: First, Second.
Answer: ",First.,Second.
13,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A man in a blue coat skiing through a snowy field.""? Choices: First, Second.
Answer: ",First.,Second.
14,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A plate with a peanut butter sandwich, ham, and tomatoes.""? Choices: First, Second.
Answer: ",Second.,Second.
15,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A plate of meats and cheese's next to three wine glasses.""? Choices: First, Second.
Answer: ",First.,Second.
16,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A giraffe and bird in a grassy area with a fence.""? Choices: First, Second.
Answer: ",First.,Second.
17,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A dog curled up on a couch with blankets and pillows.""? Choices: First, Second.
Answer: ",First.,Second.
18,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A long-haired man standing outside holding a racquet with both hands.""? Choices: First, Second.
Answer: ",First.,Second.
19,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A young man that is wearing a nice suite coat with a skirt and a purse.""? Choices: First, Second.
Answer: ",Second.,Second.
20,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A bobble head baseball figurine on a desk.""? Choices: First, Second.
Answer: ",First.,Second.
21,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A man in shallow water bending over to pick up a frisbee.""? Choices: First, Second.
Answer: ",First.,Second.
22,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A little black bird with a big colorful beak sitting on a branch.""? Choices: First, Second.
Answer: ",First.,Second.
23,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A dog lying on a chair with a dress shoe.""? Choices: First, Second.
Answer: ",First.,Second.
24,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A large group of people flying kites beside a body of water.""? Choices: First, Second.
Answer: ",Second.,Second.
25,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A refrigerator on a patio flooded with water, beverage cans and a beer bottle.""? Choices: First, Second.
Answer: ",First.,Second.
26,object,"You are given two images.<image> <image> Which image better aligns with the description: ""An illuminated floral display forms the centerpiece of the arrangement in this close up of a dining room table setting.""? Choices: First, Second.
Answer: ",First.,Second.
27,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A dog chasing a coaster frisbee in a field near a wire fence.""? Choices: First, Second.
Answer: ",Second.,Second.
28,object,"You are given two images.<image> <image> Which image better aligns with the description: ""The dog is sitting on a brown easy chair beside a window.""? Choices: First, Second.
Answer: ",First.,Second.
29,object,"You are given two images.<image> <image> Which image better aligns with the description: ""THERE IS A BUS PARKED ON THE SIDE OF THE STREET.""? Choices: First, Second.
Answer: ",First.,Second.
30,object,"You are given two images.<image> <image> Which image better aligns with the description: ""Two guys skateboarding down a graffiti lined street.""? Choices: First, Second.
Answer: ",First.,Second.
31,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A woman sitting next to a fire hydrant with a notebook in hand.""? Choices: First, Second.
Answer: ",First.,Second.
32,object,"You are given two images.<image> <image> Which image better aligns with the description: ""An old man sitting on a bench in a public park.""? Choices: First, Second.
Answer: ",First.,Second.
33,object,"You are given two images.<image> <image> Which image better aligns with the description: ""The tray has a sandwich and two bowls near a beverage.""? Choices: First, Second.
Answer: ",Second.,Second.
34,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A group of men standing next to each other.""? Choices: First, Second.
Answer: ",First.,Second.
35,object,"You are given two images.<image> <image> Which image better aligns with the description: ""There is a platter with a salad on white linen.""? Choices: First, Second.
Answer: ",First.,Second.
36,object,"You are given two images.<image> <image> Which image better aligns with the description: ""There is a large clock in the foreground and a large building in the background.""? Choices: First, Second.
Answer: ",First.,Second.
37,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A man with graying hair looks down at a stand full of yellow bananas.""? Choices: First, Second.
Answer: ",Second.,Second.
38,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A rack filled with lots of different bags of luggage.""? Choices: First, Second.
Answer: ",Second.,Second.
39,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A shopping center sign right by a road and a big red building.""? Choices: First, Second.
Answer: ",Second.,Second.
40,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A big purple bus parked in a parking spot.""? Choices: First, Second.
Answer: ",First.,Second.
41,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A man sitting at a wooden bench and table with an open umbrella sitting on the table.""? Choices: First, Second.
Answer: ",First.,Second.
42,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A table with several dishes on it with a television.""? Choices: First, Second.
Answer: ",Second.,Second.
43,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A table topped with a train styled cake.""? Choices: First, Second.
Answer: ",First.,Second.
44,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A woman is sitting on an old wooden bench.""? Choices: First, Second.
Answer: ",First.,Second.
45,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A bowl that has some kind of a batter in it near a mixer.""? Choices: First, Second.
Answer: ",First.,Second.
46,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A group of kids holding teddy bears and looking happy.""? Choices: First, Second.
Answer: ",First.,Second.
47,object,"You are given two images.<image> <image> Which image better aligns with the description: ""A person on a motorcycle driving on the break down lane.""? Choices: First, Second.
Answer: ",First.,Second.
48,object,"You are given two images.<image> <image> Which image better aligns with the description: ""Cat sitting on recliner back in room facing the television.""? Choices: First, Second.
Answer: ",First.,Second.
