sample_id,category,text_prompt,text_answer_1,text_answer_2
0,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) There is a small puppy on the kitchen floor., or (B) There is a small puppy on the living room floor.? Choices: A, B.
Answer: B

Example 2:
Question: <image> Does this image best match: (A) Man with a party hat happily playing on the Wii in his living room., or (B) Woman with a party hat happily playing on the Wii in his living room.? Choices: A, B.
Answer: B

Example 3:
Question: <image> Does this image best match: (A) A calf laying in front of a cow., or (B) A piglet laying in front of a cow.? Choices: A, B.
Answer: A

Example 4:
Question: <image> Does this image best match: (A) THERE ARE FRIED DOUGHNUTS IN A PAN TO BUY., or (B) THERE ARE FRIED CREPES IN A PAN TO BUY.? Choices: A, B.
Answer: B

Example 5:
Question: <image> Does this image best match: (A) A truck sitting on a field with kites in the air., or (B) A bus sitting on a field with kites in the air.? Choices: A, B.
Answer: B

Example 6:
Question: <image> Does this image best match: (A) Stuffed bear wearing glasses with electronic audio equipment., or (B) A stuffed monkey wearing glasses with electronic audio equipment.? Choices: A, B.
Answer: A

Example 7:
Question: <image> Does this image best match: (A) A freight train with a green engine coming down the tracks., or (B) A freight train with a blue engine coming down the tracks.? Choices: A, B.
Answer: A

Example 8:
Question: <image> Does this image best match: (A) Two women in colorful dresses lean against a white wall and one of them is on a cell phone., or (B) Two women in pantsuits lean against a white wall and one of them is on a cell phone.? Choices: A, B.
Answer: B

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A man sitting on a bench in a forest area., or (B) A man sitting on a log in a forest area.? Choices: A, B.
Answer: ",A.,B.
1,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A pair of running shoes sit on the end of a bed., or (B) A pair of boots sit on the end of a bed.? Choices: A, B.
Answer: B

Example 2:
Question: <image> Does this image best match: (A) A man with thick black glasses eats a hotdog., or (B) A man with thick black glasses eats a fish taco.? Choices: A, B.
Answer: A

Example 3:
Question: <image> Does this image best match: (A) A tray of food on a wooden table., or (B) A plate of food on a wooden table.? Choices: A, B.
Answer: A

Example 4:
Question: <image> Does this image best match: (A) A red stop sign sitting under a couple of street signs., or (B) A yellow yield sign sitting under a couple of street signs.? Choices: A, B.
Answer: A

Example 5:
Question: <image> Does this image best match: (A) Two guys play flying disc golf in the woods., or (B) Two girls play flying disc golf in the woods.? Choices: A, B.
Answer: A

Example 6:
Question: <image> Does this image best match: (A) A city bus that is stopped at a bus stop., or (B) A school bus that is stopped at a bus stop.? Choices: A, B.
Answer: A

Example 7:
Question: <image> Does this image best match: (A) The small room has a couch, a television, and a table with two stools., or (B) The small room has a hammock, a television, and a table with two stools.? Choices: A, B.
Answer: A

Example 8:
Question: <image> Does this image best match: (A) A man riding a surfboard on a wave in the ocean., or (B) A woman riding a surfboard on a wave in the ocean.? Choices: A, B.
Answer: A

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A colorful kite flying through a cloudy blue sky., or (B) A colorful balloon is floating through a cloudy blue sky.? Choices: A, B.
Answer: ",A.,B.
2,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A man riding a surfboard on a wave in the ocean., or (B) A woman riding a surfboard on a wave in the ocean.? Choices: A, B.
Answer: A

Example 2:
Question: <image> Does this image best match: (A) A hand is holding a tag with a cross on it., or (B) A hand is holding a badge with a star on it.? Choices: A, B.
Answer: A

Example 3:
Question: <image> Does this image best match: (A) Cat sitting on a desk with a computer behind him., or (B) A cat sitting on a desk with a printer behind him.? Choices: A, B.
Answer: A

Example 4:
Question: <image> Does this image best match: (A) A red bird pirched on a wooden ledge., or (B) A red bird pirched on a metal beam.? Choices: A, B.
Answer: B

Example 5:
Question: <image> Does this image best match: (A) A table has a hot dog and french fries on it., or (B) A table has a grilled cheese sandwich and french fries on it.? Choices: A, B.
Answer: B

Example 6:
Question: <image> Does this image best match: (A) A woman sitting on the ground next to luggage., or (B) A woman sitting on the ground next to a picnic basket.? Choices: A, B.
Answer: B

Example 7:
Question: <image> Does this image best match: (A) A man sitting on a bench in a forest area., or (B) Children sitting on a bench in a forest area.? Choices: A, B.
Answer: A

Example 8:
Question: <image> Does this image best match: (A) There is a large clock in the foreground and a large building in the background., or (B) There is a large statue in the foreground and a large building in the background.? Choices: A, B.
Answer: A

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) Cat sitting on a desk with a computer behind him., or (B) A cat sitting on a couch with a computer behind him.? Choices: A, B.
Answer: ",A.,B.
3,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A messy bedroom has one red brick wall., or (B) A messy bedroom has one green wall tapestry.? Choices: A, B.
Answer: A

Example 2:
Question: <image> Does this image best match: (A) A glass filled with alcohol sitting on a white table., or (B) A glass of orange juice sitting on a white table.? Choices: A, B.
Answer: B

Example 3:
Question: <image> Does this image best match: (A) A large group of people flying kites beside a body of water., or (B) A large group of people flying kites beside a park.? Choices: A, B.
Answer: A

Example 4:
Question: <image> Does this image best match: (A) Three men from in a Ft. Spokane baseball team uniform., or (B) Three men from a Ft. Spokane hockey team uniform.? Choices: A, B.
Answer: A

Example 5:
Question: <image> Does this image best match: (A) A rack filled with lots of different bags of luggage., or (B) A rack filled with lots of different gift boxes.? Choices: A, B.
Answer: A

Example 6:
Question: <image> Does this image best match: (A) There is a small bathroom with a white vanity., or (B) There is a small bathroom with a turquoise vanity.? Choices: A, B.
Answer: A

Example 7:
Question: <image> Does this image best match: (A) Nicely dressed little boy gets ready to play in the dirt., or (B) Nicely dressed little boy gets ready to play on the grass.? Choices: A, B.
Answer: B

Example 8:
Question: <image> Does this image best match: (A) A man with thick black glasses eats a hotdog., or (B) A man with thick black glasses eats a fish taco.? Choices: A, B.
Answer: A

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) Some adults and a child are in a photograph., or (B) Some teens and a child are in a photograph.? Choices: A, B.
Answer: ",A.,B.
4,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) Side by Side stainless refrigerator in a kitchen., or (B) Side by Side stainless dishwasher in a kitchen.? Choices: A, B.
Answer: B

Example 2:
Question: <image> Does this image best match: (A) A man with a wet suit on standing on a surfboard in the water., or (B) A man with a swimsuit on standing on a surfboard in the water.? Choices: A, B.
Answer: B

Example 3:
Question: <image> Does this image best match: (A) A small room with a computer and bookcase., or (B) A small room with a computer and piano.? Choices: A, B.
Answer: B

Example 4:
Question: <image> Does this image best match: (A) A sliced pizza in a box with different topings., or (B) A sliced lasagna in a box with different toppings.? Choices: A, B.
Answer: B

Example 5:
Question: <image> Does this image best match: (A) A man in a green suiit leaning over a laptop., or (B) A man in a blue shirt leaning over a laptop.? Choices: A, B.
Answer: A

Example 6:
Question: <image> Does this image best match: (A) A stone backsplash covers the wall behind a cooktop stove., or (B) A tile backsplash covers the wall behind a cooktop stove.? Choices: A, B.
Answer: A

Example 7:
Question: <image> Does this image best match: (A) A slice of pizza covered in chocolate next to two dolls., or (B) A slice of sushi roll covered in chocolate next to two dolls.? Choices: A, B.
Answer: A

Example 8:
Question: <image> Does this image best match: (A) Cat sitting on a desk with a computer behind him., or (B) A cat sitting on a couch with a computer behind him.? Choices: A, B.
Answer: A

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) There is a group of sheep grazing on the grass in the field., or (B) There is a group of sheep resting on the grass in the field.? Choices: A, B.
Answer: ",A.,B.
5,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A newspaper spread out on a made bed with a quilt and pillow., or (B) A novel spread out on a made bed with a quilt and pillow.? Choices: A, B.
Answer: A

Example 2:
Question: <image> Does this image best match: (A) A man in a yellow shirt and wetsuit surfing., or (B) A man in a blue shirt and wetsuit surfing.? Choices: A, B.
Answer: B

Example 3:
Question: <image> Does this image best match: (A) A white sink sitting under a bathroom mirror., or (B) A black sink sitting under a bathroom mirror.? Choices: A, B.
Answer: B

Example 4:
Question: <image> Does this image best match: (A) A large group of people flying kites beside a body of water., or (B) A large group of people flying kites beside a park.? Choices: A, B.
Answer: B

Example 5:
Question: <image> Does this image best match: (A) A blue toilet sitting in a corner of a bathroom., or (B) A blue sink sitting in a corner of a bathroom.? Choices: A, B.
Answer: B

Example 6:
Question: <image> Does this image best match: (A) View of a city skyline and train yard at dusk., or (B) A different view of the city skyline and the crane yard at dusk.? Choices: A, B.
Answer: B

Example 7:
Question: <image> Does this image best match: (A) A woman wearing glasses poses behind her birthday cake., or (B) A man wearing glasses poses behind his birthday cake.? Choices: A, B.
Answer: B

Example 8:
Question: <image> Does this image best match: (A) A man in a green suiit leaning over a laptop., or (B) A man in a blue shirt leaning over a laptop.? Choices: A, B.
Answer: B

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A painting of a white vase holding yellow tulips., or (B) A painting of a white vase holding red roses.? Choices: A, B.
Answer: ",A.,B.
6,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A balloon elephant sits in the middle of a park area., or (B) A giant teddy bear sits in the middle of a park area.? Choices: A, B.
Answer: B

Example 2:
Question: <image> Does this image best match: (A) A cat leans over a desk and paws at an army knife., or (B) A cat leans over a desk and paws at a feather quill.? Choices: A, B.
Answer: A

Example 3:
Question: <image> Does this image best match: (A) A huge room with desks and places to sit., or (B) A huge room with sofas and places to sit.? Choices: A, B.
Answer: B

Example 4:
Question: <image> Does this image best match: (A) A lone motorcycle parked in parking space at night., or (B) A lone scooter parked in parking space at night.? Choices: A, B.
Answer: B

Example 5:
Question: <image> Does this image best match: (A) A large clock mounted to the side of a building., or (B) A large statue mounted to the side of a building.? Choices: A, B.
Answer: A

Example 6:
Question: <image> Does this image best match: (A) Group of adults and children riding in wooden boat on river., or (B) Group of adults and children riding in an inflatable boat on river.? Choices: A, B.
Answer: B

Example 7:
Question: <image> Does this image best match: (A) A Corgi dog resting on frizzy beige carpet., or (B) A Corgi dog resting on frizzy blue carpet.? Choices: A, B.
Answer: A

Example 8:
Question: <image> Does this image best match: (A) A purple and white city bus pulling up to the curb., or (B) A green and white city bus pulling up to the curb.? Choices: A, B.
Answer: B

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A picture of a man wearing a suit, hat, and sunglasses., or (B) A picture of a man wearing swimwear, hat, and sunglasses.? Choices: A, B.
Answer: ",A.,B.
7,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A person standing by a light post holding a large suitcase., or (B) A person standing by a light post with a skateboard.? Choices: A, B.
Answer: B

Example 2:
Question: <image> Does this image best match: (A) The inside of a warehouse building with brown couches., or (B) The inside of a warehouse building with red benches.? Choices: A, B.
Answer: B

Example 3:
Question: <image> Does this image best match: (A) A woman is sitting on an old wooden bench., or (B) A woman is sitting on a concrete bench.? Choices: A, B.
Answer: B

Example 4:
Question: <image> Does this image best match: (A) Nicely dressed little boy gets ready to play in the dirt., or (B) Nicely dressed little boy gets ready to play on the grass.? Choices: A, B.
Answer: A

Example 5:
Question: <image> Does this image best match: (A) The back of a bus with a hotel in the background., or (B) The back of a campervan with a hotel in the background.? Choices: A, B.
Answer: B

Example 6:
Question: <image> Does this image best match: (A) A cow is standing in sand by some water., or (B) A goat is standing in sand by some water.? Choices: A, B.
Answer: B

Example 7:
Question: <image> Does this image best match: (A) A tourist unfolds an umbrella near ancient ruins., or (B) A tourist sets up a camera tripod near ancient ruins.? Choices: A, B.
Answer: B

Example 8:
Question: <image> Does this image best match: (A) Plastic toy hot dog and bun, on plastic plate., or (B) Plastic toy pizza and bun, on plastic plate.? Choices: A, B.
Answer: A

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A black woman standing over a bushel of yellow bananas., or (B) A black woman standing over a bushel of orange oranges.? Choices: A, B.
Answer: ",A.,B.
8,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A table topped with a train styled cake., or (B) A table topped with a model car.? Choices: A, B.
Answer: A

Example 2:
Question: <image> Does this image best match: (A) A small room with a computer and bookcase., or (B) A small room with a computer and piano.? Choices: A, B.
Answer: A

Example 3:
Question: <image> Does this image best match: (A) Two woman are slicing and plating pieces of cake., or (B) Two women are slicing and plating pieces of fruits.? Choices: A, B.
Answer: B

Example 4:
Question: <image> Does this image best match: (A) A kitchen with an oven with a green rag and an orange rag., or (B) A kitchen with an oven with a blue kitchen towel and an orange rag.? Choices: A, B.
Answer: B

Example 5:
Question: <image> Does this image best match: (A) A microwave oven is sitting on a counter., or (B) A kettle is sitting on a counter.? Choices: A, B.
Answer: A

Example 6:
Question: <image> Does this image best match: (A) A rack filled with lots of different bags of luggage., or (B) A rack filled with lots of different gift boxes.? Choices: A, B.
Answer: B

Example 7:
Question: <image> Does this image best match: (A) Leaves and purple flowers come out of a brown vase on a desk., or (B) Leaves and purple flowers come out of a green vase on a desk.? Choices: A, B.
Answer: A

Example 8:
Question: <image> Does this image best match: (A) A giraffe stands in the middle of a sandy area., or (B) A giraffe stands in the middle of a grassy field.? Choices: A, B.
Answer: B

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A water skier in a red and white shirt and hat., or (B) A surfer in a red and white shirt and hat on the water.? Choices: A, B.
Answer: ",A.,B.
9,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) A child on a blanket with an apple., or (B) A child on a blanket with a teddy bear.? Choices: A, B.
Answer: A

Example 2:
Question: <image> Does this image best match: (A) Two people on a beach flying a kite in the air., or (B) Two people on a beach flying a drone in the air.? Choices: A, B.
Answer: B

Example 3:
Question: <image> Does this image best match: (A) A motorcycle is parked on a dirt road in front of an old farm truck selling produce., or (B) A quad bike is parked on a dirt road in front of an old farm truck selling produce.? Choices: A, B.
Answer: A

Example 4:
Question: <image> Does this image best match: (A) Three guys sitting at a table with two pizzas., or (B) Three guys sitting at a table with two pasta dishes.? Choices: A, B.
Answer: A

Example 5:
Question: <image> Does this image best match: (A) A man riding skis while flying through the air., or (B) A man riding a snowboard while flying through the air.? Choices: A, B.
Answer: A

Example 6:
Question: <image> Does this image best match: (A) A variety of beer sitting behind some bananas., or (B) A variety of soft drinks sitting behind some bananas.? Choices: A, B.
Answer: B

Example 7:
Question: <image> Does this image best match: (A) A dog laying on its side with a remote control under its paw., or (B) A dog laying on its side with a toy under its paw.? Choices: A, B.
Answer: B

Example 8:
Question: <image> Does this image best match: (A) This girl is laying on the bed reading., or (B) This girl is laying on the bed playing a video game.? Choices: A, B.
Answer: A

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A work area with a laptop computer and phone., or (B) A work area with a laptop computer and camera.? Choices: A, B.
Answer: ",A.,B.
10,object,"Below are some examples demonstrating how to answer based on the provided captions and images:

Example 1:
Question: <image> Does this image best match: (A) Cat sitting on a desk with a computer behind him., or (B) A cat sitting on a desk with a printer behind him.? Choices: A, B.
Answer: B

Example 2:
Question: <image> Does this image best match: (A) A flip phone sitting next to a laptop computer., or (B) A book sitting next to a laptop computer.? Choices: A, B.
Answer: A

Example 3:
Question: <image> Does this image best match: (A) A couple are enjoying pizza and drinks at the restaurant., or (B) A couple are enjoying pasta and drinks at the restaurant.? Choices: A, B.
Answer: A

Example 4:
Question: <image> Does this image best match: (A) A person sitting down holding a surf board., or (B) A person sitting down holding a kayak paddle.? Choices: A, B.
Answer: A

Example 5:
Question: <image> Does this image best match: (A) A rack filled with lots of different bags of luggage., or (B) A rack filled with lots of different gift boxes.? Choices: A, B.
Answer: B

Example 6:
Question: <image> Does this image best match: (A) A group of kids holding teddy bears and looking happy., or (B) A group of kids holding puppies and looking happy.? Choices: A, B.
Answer: A

Example 7:
Question: <image> Does this image best match: (A) A black train with steam coming from underneath, passes by a building., or (B) A blue train with steam coming from underneath, passes by a building.? Choices: A, B.
Answer: B

Example 8:
Question: <image> Does this image best match: (A) A woman checks out a motorcycle in a parking lot., or (B) A woman checks out a segway in a parking lot.? Choices: A, B.
Answer: B

Now, please answer the following for the evaluation sample:
Question: <image> Does this image best match: (A) A sky photo to jumbo jet airplanes over a bridge., or (B) A sky photo of small propeller planes over a bridge.? Choices: A, B.
Answer: ",A.,B.
