sample_id,image,caption,prompt,answer
0,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: an old person kisses a young person
Answer: ",Yes.
0,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a young person kisses an old person
Answer: ",No
0,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: an old person kisses a young person
Answer: ",No
0,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a young person kisses an old person
Answer: ",Yes.
1,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the taller person hugs the shorter person
Answer: ",Yes
1,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the shorter person hugs the taller person
Answer: ",I'm unable to determine the answer based on the image provided.
1,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the taller person hugs the shorter person
Answer: ",Yes
1,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the shorter person hugs the taller person
Answer: ",Yes
2,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the masked wrestler hits the unmasked wrestler
Answer: ",No
2,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the unmasked wrestler hits the masked wrestler
Answer: ",No.
2,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the masked wrestler hits the unmasked wrestler
Answer: ",No.
2,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the unmasked wrestler hits the masked wrestler
Answer: ",Yes.
3,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person watches an animal
Answer: ",Yes.
3,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: an animal watches a person
Answer: ",Yes.
3,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a person watches an animal
Answer: ",Yes.
3,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: an animal watches a person
Answer: ",Yes.
4,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person without earrings pays the person with earrings
Answer: ",Yes.
4,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with earrings pays the person without earrings
Answer: ",No.
4,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person without earrings pays the person with earrings
Answer: ",Yes.
4,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the person with earrings pays the person without earrings
Answer: ",Yes.
5,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a bird eats a snake
Answer: ",Yes.
5,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a snake eats a bird
Answer: ",No
5,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a bird eats a snake
Answer: ",No.
5,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a snake eats a bird
Answer: ",Yes.
6,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a plant was harmed by another organism, and that organism broke the plant into pieces
Answer: ",Yes.
6,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: another organism was harmed by a plant, and that plant broke the organism into pieces
Answer: ",No.
6,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a plant was harmed by another organism, and that organism broke the plant into pieces
Answer: ",No
6,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: another organism was harmed by a plant, and that plant broke the organism into pieces
Answer: ",Yes.
7,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a bottle is in water
Answer: ",Yes.
7,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: water is in a bottle
Answer: ",No
7,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a bottle is in water
Answer: ",No
7,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: water is in a bottle
Answer: ",Yes
8,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a tree smashed into a car
Answer: ",Yes.
8,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a car smashed into a tree
Answer: ",Yes.
8,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a tree smashed into a car
Answer: ",No.
8,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a car smashed into a tree
Answer: ",Yes.
9,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: people fall on the leaves
Answer: ",Yes.
9,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the leaves fall on people
Answer: ",Yes
9,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: people fall on the leaves
Answer: ",No
9,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the leaves fall on people
Answer: ",Yes.
10,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sail rests below the water
Answer: ",Yes.
10,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the water rests below the sail
Answer: ",No
10,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the sail rests below the water
Answer: ",No.
10,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the water rests below the sail
Answer: ",Yes.
11,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a table below someone
Answer: ",Yes.
11,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is someone below a table
Answer: ",No.
11,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a table below someone
Answer: ",Yes.
11,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is someone below a table
Answer: ",Yes.
12,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the image shows a computer on top of books
Answer: ",Yes.
12,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the image shows books on top of a computer
Answer: ",No.
12,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the image shows a computer on top of books
Answer: ",No
12,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: the image shows books on top of a computer
Answer: ",Yes
13,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a caterpillar with some plants
Answer: ",Yes.
13,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a plant with some caterpillars
Answer: ",Yes.
13,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a caterpillar with some plants
Answer: ",Yes
13,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: a plant with some caterpillars
Answer: ",Yes.
14,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a mug in some grass
Answer: ",Yes.
14,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is some grass in a mug
Answer: ",No.
14,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is a mug in some grass
Answer: ",No
14,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there is some grass in a mug
Answer: ",Yes.
15,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more skiers than snowboarders
Answer: ",Yes.
15,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more snowboarders than skiers
Answer: ",No.
15,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more skiers than snowboarders
Answer: ",No.
15,B,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are more snowboarders than skiers
Answer: ",Yes.
16,A,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are fewer forks than spoons
Answer: ",Yes.
16,A,2,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are fewer spoons than forks
Answer: ",Yes.
16,B,1,"Here is an evaluation sample. Please provide the final answer in yes or no.


Image: <image>
Caption: there are fewer forks than spoons
Answer: ",No.
